3 sentTextTo 0 1669396694.620084
0 receivedTextFrom 3 1669396694.621859
4 sentTextTo 3 1669396694.641241
3 receivedTextFrom 4 1669396694.64336
4 sentTextTo 3 1669396694.662242
3 receivedTextFrom 4 1669396694.66398
4 sentTextTo 3 1669396694.683247
3 receivedTextFrom 4 1669396694.686357
0 sentTextTo 0 1669396694.705527
0 receivedTextFrom 0 1669396694.707396
0 sentTextTo 0 1669396694.727448
0 receivedTextFrom 0 1669396694.729118
0 sentTextTo 0 1669396694.749748
0 receivedTextFrom 0 1669396694.751438
0 sentTextTo 3 1669396694.773877
3 receivedTextFrom 0 1669396694.77592
0 sentTextTo 3 1669396694.794709
3 receivedTextFrom 0 1669396694.796424
0 sentTextTo 3 1669396694.815513
3 receivedTextFrom 0 1669396694.817233
3 sentTextTo 2 1669396694.837934
2 receivedTextFrom 3 1669396694.840081
3 sentTextTo 2 1669396694.857444
2 receivedTextFrom 3 1669396694.859273
3 sentTextTo 2 1669396694.878692
2 receivedTextFrom 3 1669396694.880517
0 sentTextTo 4 1669396694.901001
4 receivedTextFrom 0 1669396694.903984
0 sentTextTo 4 1669396694.92207
4 receivedTextFrom 0 1669396694.923895
0 sentTextTo 4 1669396694.940791
4 receivedTextFrom 0 1669396694.942606
3 sentTextTo 2 1669396694.962961
2 receivedTextFrom 3 1669396694.964843
3 sentTextTo 2 1669396694.983212
2 receivedTextFrom 3 1669396694.98629
3 sentTextTo 2 1669396695.004141
2 receivedTextFrom 3 1669396695.005952
0 sentTextTo 2 1669396695.024186
2 receivedTextFrom 0 1669396695.026228
0 sentTextTo 2 1669396695.045405
2 receivedTextFrom 0 1669396695.048501
0 sentTextTo 2 1669396695.066193
2 receivedTextFrom 0 1669396695.068489
4 sentTextTo 4 1669396695.088528
4 receivedTextFrom 4 1669396695.090208
4 sentTextTo 4 1669396695.110795
4 receivedTextFrom 4 1669396695.112469
4 sentTextTo 4 1669396695.131282
4 receivedTextFrom 4 1669396695.132957
4 sentTextTo 1 1669396695.15537
1 receivedTextFrom 4 1669396695.157416
4 sentTextTo 1 1669396695.174038
1 receivedTextFrom 4 1669396695.175773
4 sentTextTo 1 1669396695.195014
1 receivedTextFrom 4 1669396695.196799
0 sentTextTo 4 1669396695.21653
4 receivedTextFrom 0 1669396695.218532
0 sentTextTo 4 1669396695.235658
4 receivedTextFrom 0 1669396695.238438
0 sentTextTo 4 1669396695.25476
4 receivedTextFrom 0 1669396695.256635
3 sentTextTo 2 1669396695.276809
2 receivedTextFrom 3 1669396695.278997
3 sentTextTo 2 1669396695.297692
2 receivedTextFrom 3 1669396695.299574
3 sentTextTo 2 1669396695.318721
2 receivedTextFrom 3 1669396695.320964
2 sentTextTo 0 1669396695.34135
0 receivedTextFrom 2 1669396695.343229
2 sentTextTo 0 1669396695.3623
0 receivedTextFrom 2 1669396695.364258
2 sentTextTo 0 1669396695.383153
0 receivedTextFrom 2 1669396695.385119
1 sentTextTo 4 1669396695.405955
4 receivedTextFrom 1 1669396695.408055
1 sentTextTo 4 1669396695.427032
4 receivedTextFrom 1 1669396695.428795
1 sentTextTo 4 1669396695.448152
4 receivedTextFrom 1 1669396695.449941
1 sentTextTo 3 1669396695.469128
3 receivedTextFrom 1 1669396695.471293
1 sentTextTo 3 1669396695.490068
3 receivedTextFrom 1 1669396695.491917
1 sentTextTo 3 1669396695.51094
3 receivedTextFrom 1 1669396695.512825
3 sentTextTo 2 1669396695.533278
2 receivedTextFrom 3 1669396695.535694
3 sentTextTo 2 1669396695.554415
2 receivedTextFrom 3 1669396695.556411
3 sentTextTo 2 1669396695.574221
2 receivedTextFrom 3 1669396695.57608
2 sentTextTo 1 1669396695.59668
1 receivedTextFrom 2 1669396695.598761
2 sentTextTo 1 1669396695.616278
1 receivedTextFrom 2 1669396695.61825
2 sentTextTo 1 1669396695.636213
1 receivedTextFrom 2 1669396695.637976
3 sentTextTo 0 1669396695.655101
